Frame,Time,Oar 0 Angle,Oar 1 Angle,Oar 2 Angle,Oar 3 Angle
174.0,5.733333333333333,18.73079359220313,14.2645122980799,149.60127228583394,148.09189306434686
175.0,5.766666666666667,17.191662975259405,12.452952793832205,151.8518001521377,149.0882832170253
176.0,5.8,15.699668546134554,10.676355682695801,153.86358755562412,150.51287432705854
177.0,5.833333333333333,14.396136847169,8.901716032891995,156.10120836384135,152.515141480387
178.0,5.866666666666666,13.257238846581101,7.373766361330215,158.08513367280827,154.47421405230625
179.0,5.9,12.623563597702624,7.624192504451834,158.25571490101467,154.9831065219
180.0,5.933333333333334,11.534620653644717,5.928695546215154,160.52685579699835,156.87620811163072
181.0,5.966666666666667,10.154266580200265,4.316027519865624,162.6810615684853,159.34539562388008
182.0,6.0,8.914926957147866,2.5542521131783835,164.8459319496874,162.1717916679418
183.0,6.033333333333333,7.159080423076813,0.8394385337123185,166.79207153722092,164.64986350757562
184.0,6.066666666666666,5.440332031005506,-1.2544516226815356,169.34609740006152,167.38455559350157
185.0,6.1,5.169827887557858,-1.45812315589723,169.56978003437086,167.70141015592014
186.0,6.133333333333333,3.492593160856053,-3.0996321205313078,171.71420297604627,170.06734986789846
187.0,6.166666666666667,1.5838115708619434,-5.5472995874217625,173.77905007884038,172.55755875734573
188.0,6.2,-0.7884242624401321,-7.326406660169546,175.74397327451635,174.96491532054333
189.0,6.233333333333333,-2.8754536839852474,-9.130176482278692,177.37359436170925,177.99044618697886
190.0,6.266666666666667,-5.171052418002491,-11.23176638402444,179.21157573755988,180.0
191.0,6.3,-4.635463426902642,-11.427101593945135,179.21157573755988,-179.75303696257376
192.0,6.333333333333333,-7.409438731638324,-13.796111682338227,-178.94881925045627,-177.28542273099893
193.0,6.366666666666666,-9.670518164924728,-15.756033768582865,-176.58732064841314,-175.11479743188272
194.0,6.4,-12.200468727380784,-17.75946717786249,-175.34365365110395,-172.6632261904539
195.0,6.433333333333334,-14.705272056130012,-19.71884420662093,-173.48757697071215,-170.17606827658415
196.0,6.466666666666667,-17.87869659584134,-22.411679797999582,-171.9066964715569,-167.44470325921145
197.0,6.5,-18.355701598887702,-22.338206205062182,-171.3921376262939,-167.44470325921145
198.0,6.533333333333333,-21.14609417940768,-24.761731774432885,-169.69515353123398,-164.89515088742428
199.0,6.566666666666666,-24.31930861118292,-27.25532837494307,-167.66886053401194,-162.33927134200607
200.0,6.6,-27.923589715138384,-29.91136918726375,-165.3355385115889,-159.7872104611145
201.0,6.633333333333333,-31.357085224009932,-32.57405713457251,-163.1265293453246,-157.09423034158283
202.0,6.666666666666667,-34.402664854976436,-36.14029914085353,-160.8209919741893,-154.7723505325714
203.0,6.7,-34.402664854976436,-35.942111871382345,-160.7465957153894,-154.87814185089564
204.0,6.733333333333333,-37.713196886018366,-39.53379496126426,-158.14970334162697,-152.53449990592068
205.0,6.766666666666667,-40.456242348532854,-39.83017211244214,-155.4465769165705,-149.87294018322137
206.0,6.8,-43.472474557787066,-47.5385445983988,-152.47811453372597,-147.52880770915152
207.0,6.833333333333333,-46.759385422261964,-51.092771657336066,-149.8210680709184,-145.28820523208236
208.0,6.866666666666666,-49.91026122158257,-52.80979385591095,-147.16387137342087,-142.70608952491196
209.0,6.8999999999999995,-49.698680517299444,-52.68844776990288,-147.01147838636544,-142.70608952491196
210.0,6.933333333333334,-52.516441716269505,-54.92624550665171,-144.13961513677236,-139.4258340364498
211.0,6.966666666666667,-54.52728338145236,-55.97224023781165,-141.03954198916355,-137.17474411461006
212.0,7.0,-56.07447169197014,-56.866725242621044,-139.48841683624423,-136.09469059185304
213.0,7.033333333333333,-56.54252570043687,-56.36529069786983,-138.52746805037413,-135.89797943860182
214.0,7.066666666666666,-56.53850484993143,-54.99175789374537,-137.91083782616775,-137.18858256040323
215.0,7.1,-57.06776895865333,-54.82989233463745,-138.0940580589171,-137.18858256040323
216.0,7.133333333333333,-55.49147701233159,-53.24831906297723,-139.61387089748843,-138.21949489685284
217.0,7.166666666666667,-53.60448159309265,-51.34019174590991,-141.00004929358232,-139.9697407281103
218.0,7.2,-51.25903630512225,-48.81407483429036,-142.43140797117252,-142.38604315126727
219.0,7.233333333333333,-48.621484704117336,-46.768666345403126,-143.39909464785248,-144.8060927598971
220.0,7.266666666666667,-46.45021629093343,-44.047426359199534,-145.94218540900937,-147.39726630149912
221.0,7.3,-46.45021629093343,-43.9139541739936,-146.16245331578068,-147.73524427888938
222.0,7.333333333333333,-43.91907581333932,-40.768642192533726,-148.58296352983675,-150.40510731204523
223.0,7.366666666666666,-41.09145570554055,-37.99396018035402,-151.20072299647245,-153.54366933667197
224.0,7.3999999999999995,-38.31068460236594,-35.53767779197438,-154.0195793436272,-156.80140948635182
225.0,7.433333333333334,-34.85084820103174,-33.25742153496045,-157.0402827042438,-159.18867824401866
226.0,7.466666666666667,-31.476839349583983,-32.31961650818018,-160.41600622975182,-162.1729411469167
227.0,7.5,-31.393896945750694,-32.79489381576871,-160.41600622975182,-162.328949638008
228.0,7.533333333333333,-27.228679177091244,-29.871292078071864,-163.523118606312,-165.6671971746479
229.0,7.566666666666666,-24.362453015312187,-26.682460396987043,-166.77419772628545,-169.41042914193233
230.0,7.6,-20.151747034211887,-22.319440392975086,-170.11201118442224,-173.57815161648247
231.0,7.633333333333333,-16.081651956813708,-19.330122533133085,-173.74596725608356,-177.23787168662122
232.0,7.666666666666667,-12.339087278326195,-16.18037385698698,-177.38557040340456,178.47247455778708
233.0,7.7,-12.39271347694603,-15.984801520234576,-177.63592041408054,178.21803940967337
234.0,7.733333333333333,-8.417657177013158,-11.933304092550085,178.39399701071775,174.00461319592455
235.0,7.766666666666667,-3.865461169851747,-7.305759533310827,174.2622653299436,169.00372741911258
236.0,7.8,1.31389302449794,-1.7534048600715397,169.62028975043222,163.79400131100573
237.0,7.833333333333333,5.842489266191621,2.642545294064724,164.9208660250389,159.1209831194426
238.0,7.866666666666666,10.182419775785927,6.911227119024681,160.267310500339,154.57312583041022
239.0,7.8999999999999995,10.451632943988697,7.1962354290813675,159.9918953210854,154.57312583041022
240.0,7.933333333333334,13.832827353897736,20.62074962969761,155.704223629342,151.1392426511932
241.0,7.966666666666667,17.52556837372287,21.293030818112133,152.2131861322918,148.1472423752695
242.0,8.0,20.353229148068834,19.798876354524932,149.19350504788812,146.86773189756607
243.0,8.033333333333333,20.45415597397038,18.09390654406316,148.41235764186843,146.94039703541935
244.0,8.066666666666666,20.353229148068834,16.238841629692285,149.0882832170253,147.55024271732213
245.0,8.1,19.88516511385544,16.238841629692285,149.34933204294714,147.55024271732213
246.0,8.133333333333333,19.06257701453984,14.420773127510984,151.03233935393598,148.46520809481171
247.0,8.166666666666666,17.9044475062482,12.275785793778928,152.515141480387,150.1189436070853
248.0,8.2,16.778454938616395,10.007979801441337,154.47421405230625,151.86393940977817
249.0,8.233333333333333,14.89627717670904,7.810414403500711,155.8634484332772,153.67170689482913
250.0,8.266666666666666,13.317633972949372,5.9061411137704996,158.19859051364818,155.426024763089
251.0,8.3,13.454252180703461,5.9061411137704996,158.3021058111609,155.66460094325632
252.0,8.333333333333334,11.41335434637721,3.6367888811969005,160.34617594194668,157.57791051606134
253.0,8.366666666666667,9.8879888155778,1.4380857074036568,162.93714282653863,160.12495781528185
254.0,8.4,8.202354244625583,-1.17875916991123,164.34748732188106,162.82409638425327
255.0,8.433333333333334,6.088528154195175,-3.2704879231835657,166.8490513190553,165.1317186415018
256.0,8.466666666666667,4.227218665326743,-5.527540151656172,168.43986920578223,167.6535793312732
257.0,8.5,4.227218665326743,-5.505477857978346,168.38851357611154,167.88845049102056
258.0,8.533333333333333,2.4681179138285407,-7.2654468998391115,170.62065496714678,169.9920201985587
259.0,8.566666666666666,0.4876118829249174,-8.984255553140017,172.22357080509047,172.8749836510982
260.0,8.6,-1.691788568264482,-10.961104032021247,174.53615718676338,174.8479182977938
261.0,8.633333333333333,-4.068579676845409,-13.076961919919444,176.5466837494689,177.68159895896866
262.0,8.666666666666666,-6.157472339553647,-15.524110996754256,178.7706655135221,-179.76896988310452
263.0,8.7,-6.627059432872448,-15.734971633670988,178.7706655135221,-179.5398028320213
264.0,8.733333333333333,-8.764100827877993,-17.678385864882266,-179.5123881170751,-177.47050579516227
265.0,8.766666666666666,-11.53929786012519,-20.48035731180924,-177.33136543065572,-174.7435850585548
266.0,8.8,-14.260711583026564,-23.030403777012626,-175.63842735497943,-171.70758708990735
267.0,8.833333333333334,-17.700427788667195,-25.426874169589805,-173.418055344822,-169.0888716157166
